"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1429","DGKELBDO_02537",1.5134,15.4468666666667,17.2854899585076,3.17832231117946e-09,1.03994706021792e-05,11.4463654939661
"2507","DGKELBDO_04209",-1.20536666666667,18.6684833333333,-14.7148493035722,1.69859272214914e-08,2.778897693436e-05,9.99718847651207
"2333","DGKELBDO_03933",1.07676666666667,15.2807833333333,12.792857575745,7.15554883790331e-08,7.80431859920654e-05,8.68789203341381
"238","DGKELBDO_00358",1.22266666666667,18.7929083333333,12.2609505452255,1.10226427379255e-07,9.01652175962305e-05,8.28437671678498
"2012","DGKELBDO_03411",1.1846,14.9362083333333,11.9459472927874,1.43485414116488e-07,9.38968549978298e-05,8.03602869502003
"1541","DGKELBDO_02694",-0.894599999999997,18.9561166666667,-11.313308829193,2.48290655003074e-07,0.000133833460402788,7.51485735531484
"2069","DGKELBDO_03496",2.43243333333333,13.559875,11.1158780030874,2.96229345221267e-07,0.000133833460402788,7.34579116094126
"2562","DGKELBDO_04305",0.911633333333331,17.53185,10.880720225645,3.66838416538381e-07,0.000133833460402788,7.14025049453408
"1","DGKELBDO_00003",0.824199999999994,18.3056583333333,10.81851856982,3.8843475627408e-07,0.000133833460402788,7.08510906736452
"2673","DGKELBDO_04508",0.979666666666667,16.930575,10.7626092141591,4.0902646822368e-07,0.000133833460402788,7.03526529856822
"587","DGKELBDO_01050",0.839333333333338,15.6850916666667,10.6427336376648,4.57281701254125e-07,0.000135602659394925,6.92749098034514
"1061","DGKELBDO_01877",0.69703333333333,17.2859833333333,10.5532519054395,4.97320266729554e-07,0.000135602659394925,6.84622946769722
"2269","DGKELBDO_03812",1.09066666666667,13.9879916666667,10.1647452815974,7.21038924549327e-07,0.000177697732920134,6.48514607951462
"1352","DGKELBDO_02379",0.850833333333334,19.4972333333333,10.0750045584699,7.86951350497505e-07,0.000177697732920134,6.39978208588458
"2008","DGKELBDO_03406",1.5935,13.4964333333333,10.0264466234547,8.25315258767278e-07,0.000177697732920134,6.35327903253674
"2067","DGKELBDO_03493",3.31543333333334,14.76035,9.92783880283445,9.09606031520401e-07,0.000177697732920134,6.25816007814142
"2071","DGKELBDO_03498",3.3347,16.1566583333333,9.91281644674283,9.23246167372335e-07,0.000177697732920134,6.24358820468077
"3193","DGKELBDO_05506",1.06326666666667,17.896525,9.75450943812607,1.08125627591262e-06,0.000196548363043671,6.08871055964461
"2470","DGKELBDO_04134",0.668433333333333,19.477225,9.36112252285426,1.61590341548738e-06,0.000278275577656564,5.69316255227736
"2357","DGKELBDO_03970",0.591933333333332,15.5334166666667,9.23771765158771,1.83807390950349e-06,0.000300708891594771,5.56584772360967
"605","DGKELBDO_01073",1.0754,18.6033083333333,9.11702914558809,2.08764180559092e-06,0.000319262667232995,5.43980088109555
"1932","DGKELBDO_03282",2.26133333333333,18.4599416666667,9.09078204512827,2.14663162564972e-06,0.000319262667232995,5.41218523209333
"839","DGKELBDO_01504",2.4844,14.3489666666667,8.95983773116525,2.469135242435e-06,0.000341896038358421,5.27331568590519
"2066","DGKELBDO_03492",4.4168,15.08605,8.94539518602259,2.50779490238451e-06,0.000341896038358421,5.25788622176823
"2065","DGKELBDO_03491",4.5131,13.6371508333333,8.89591963816776,2.64527166495264e-06,0.000346213155509001,5.20485849388498
"3268","DGKELBDO_05609",1.9129,16.6499333333333,8.85695143707403,2.7592875773629e-06,0.000347245728966593,5.16290498136927
"2068","DGKELBDO_03494",3.9808,15.9294333333333,8.71318513806672,3.22817095476046e-06,0.000391206494962082,5.00668125880006
"2063","DGKELBDO_03489",3.61733333333333,14.0748166666667,8.63297549206134,3.52665007520883e-06,0.000412114251645831,4.91852309532239
"1177","DGKELBDO_02045",-0.5014,16.7934833333333,-8.54483236054059,3.88941478878296e-06,0.000427345009406557,4.82080969601277
"344","DGKELBDO_00650",-0.732933333333333,15.2484666666667,-8.53822227735204,3.91819996399655e-06,0.000427345009406557,4.81344638511333
"518","DGKELBDO_00945",2.80483333333333,12.6417666666667,8.43000299249756,4.42369696077771e-06,0.000466914079214989,4.69218442519445
"2793","DGKELBDO_04798",1.33326666666667,16.6777583333333,8.31733724863867,5.02570865898653e-06,0.000513878710381372,4.56450273775305
"1457","DGKELBDO_02570",0.433399999999999,18.5153833333333,8.21960889518583,5.61981849669206e-06,0.000557213518823528,4.45254585381722
"650","DGKELBDO_01143",0.574599999999998,15.0185583333333,8.16334331675461,5.99592174272472e-06,0.000577019292417509,4.38757569156716
"1544","DGKELBDO_02697",-2.50246666666667,13.0043416666667,-8.13536358252484,6.1929858527957e-06,0.00057895570600993,4.35512681344214
"2798","DGKELBDO_04806",0.618300000000001,17.2604,8.06521216124928,6.71846736635199e-06,0.000610634033963992,4.27335724468273
"1428","DGKELBDO_02536",2.6118,13.949025,8.04139419516936,6.90765977155717e-06,0.000610861156014462,4.24545971410418
"1545","DGKELBDO_02698",-1.03406666666667,16.7056416666667,-7.97958011213118,7.42600381997143e-06,0.000639418013130171,4.17273689225058
"1734","DGKELBDO_02963",1.11516666666667,13.9586916666667,7.90918342139923,8.06790980121048e-06,0.000676876945373351,4.08934857907326
"1209","DGKELBDO_02099",0.536600000000004,16.9923166666667,7.86045352419437,8.54717152509939e-06,0.00069915863075313,4.03126864246987
"488","DGKELBDO_00896",0.7775,19.8012166666667,7.83245526282982,8.83635008115909e-06,0.000705183840623233,3.99776533417216
"1543","DGKELBDO_02696",-1.0916,14.4444666666667,-7.77115079958847,9.50702879147863e-06,0.000740642814421859,3.92406662830829
"630","DGKELBDO_01105",0.821899999999998,14.0055166666667,7.63866996775673,1.11513449383608e-05,0.000848539549728294,3.76319084660924
"313","DGKELBDO_00609",-0.577433333333335,15.0217166666667,-7.58112778372684,1.19588052556829e-05,0.000884304388964337,3.69262283994371
"816","DGKELBDO_01437",-0.544099999999998,15.282125,-7.54311031200553,1.25267004943175e-05,0.000884304388964337,3.64576720934486
"350","DGKELBDO_00656",-0.653533333333334,15.4384833333333,-7.54208970031428,1.25423408826678e-05,0.000884304388964337,3.64450677444119
"2064","DGKELBDO_03490",4.50486666666667,14.2636083333333,7.53172211180369,1.27024163451479e-05,0.000884304388964337,3.63169542507519
"2674","DGKELBDO_04510",0.697066666666666,14.9355166666667,7.33034232484744,1.62908087739445e-05,0.00111049013142388,3.3800865230837
"1287","DGKELBDO_02276",0.803966666666666,15.2702916666667,7.24937222088998,1.80290549995395e-05,0.0012038993460917,3.2774239745917
"1962","DGKELBDO_03321",0.675966666666667,17.1852166666667,7.19629786865843,1.92760588114315e-05,0.00126142528862008,3.20965934348215
"1846","DGKELBDO_03157",0.688633333333335,15.9865666666667,7.13437553084888,2.08493074897291e-05,0.00131264920312951,3.13012276235067
"2675","DGKELBDO_04511",0.42263333333333,17.2842333333333,7.12020687105075,2.12283578391246e-05,0.00131264920312951,3.11185149947381
"2061","DGKELBDO_03487",3.75153333333333,14.7166833333333,7.11894959252743,2.12623495616944e-05,0.00131264920312951,3.11022886717936
"705","DGKELBDO_01271",-0.63333333333334,19.029775,-7.08668918442006,2.21548600894965e-05,0.00132476757586678,3.06852112724489
"1796","DGKELBDO_03062",2.8201,12.75885,7.08268551425784,2.22684036285675e-05,0.00132476757586678,3.06333521769028
"831","DGKELBDO_01475",-0.602133333333331,16.5258666666667,-7.02520401910448,2.39693890002653e-05,0.00140049715730122,2.98864124918698
"2073","DGKELBDO_03501",1.02356666666667,13.2523166666667,6.99536648443734,2.49069370328255e-05,0.00142072975128581,2.94969246500942
"2224","DGKELBDO_03737",2.32743333333333,13.7228416666667,6.98677691049259,2.51840848333059e-05,0.00142072975128581,2.93845751998221
"1138","DGKELBDO_01987",0.337833333333339,16.4542416666667,6.96871069468935,2.57778746220193e-05,0.0014295797586991,2.91479456614167
"2062","DGKELBDO_03488",3.17666666666667,12.8158916666667,6.89500077827021,2.8361070091206e-05,0.00154662368897377,2.81778778291912
"363","DGKELBDO_00679",-0.535933333333336,17.2558,-6.85864032760516,2.97365442662762e-05,0.00159504873506977,2.76966061344737
"337","DGKELBDO_00635",-0.421733333333336,17.175375,-6.81792582098119,3.13622222484906e-05,0.00164308418477955,2.71555406151921
"2982","DGKELBDO_05111",0.876733333333332,13.6079583333333,6.77592192204829,3.3139836269096e-05,0.00164308418477955,2.65949365580231
"329","DGKELBDO_00626",-0.613199999999999,17.326925,-6.77386529788019,3.32296056638749e-05,0.00164308418477955,2.6567425030123
"300","DGKELBDO_00579",-0.505433333333331,15.5050916666667,-6.77195708430977,3.3313130535634e-05,0.00164308418477955,2.6541893541694
"3142","DGKELBDO_05411",2.07683333333333,13.2085583333333,6.76809780340351,3.34827455098809e-05,0.00164308418477955,2.64902417302307
"386","DGKELBDO_00723",-0.515133333333331,16.8866833333333,-6.7533632863828,3.41389001668783e-05,0.00164308418477955,2.62928476142589
"1534","DGKELBDO_02680",0.540433333333333,18.2314166666667,6.74776290040554,3.43919031144476e-05,0.00164308418477955,2.62177416380457
"1107","DGKELBDO_01940",-0.540166666666662,15.6832,-6.74210843911226,3.46493914271972e-05,0.00164308418477955,2.6141866171065
"428","DGKELBDO_00783",0.451400000000003,17.9100166666667,6.72686799637836,3.5353755800802e-05,0.00165253555686035,2.59371375713171
"2890","DGKELBDO_04972",0.964733333333335,18.6324583333333,6.67723206204714,3.77563101781286e-05,0.00173998094229348,2.52681183874979
"2489","DGKELBDO_04170",0.782300000000003,14.7800333333333,6.65732637422813,3.876851320987e-05,0.00176181354475965,2.49988506249693
"2015","DGKELBDO_03414",1.6797,15.8796916666667,6.63345897548424,4.00206930119215e-05,0.00179380421280832,2.46752592911449
"2676","DGKELBDO_04512",0.469766666666667,15.4091833333333,6.55397219706417,4.45135169490887e-05,0.00196821928996511,2.35918055588916
"249","DGKELBDO_00374",0.292566666666666,16.563475,6.53911032370989,4.54120288344066e-05,0.00198117544461571,2.33882392042022
"1679","DGKELBDO_02888",1.60956666666667,17.061175,6.51048122427272,4.71981382206502e-05,0.00203200405602589,2.29952183712322
"2275","DGKELBDO_03821",0.753000000000004,16.5949166666667,6.40306203074799,5.46013059900028e-05,0.00232020095064012,2.15101778231823
"534","DGKELBDO_00965",0.691766666666666,15.7373833333333,6.36667485773185,5.73835766563351e-05,0.00240716747204523,2.10034006706492
"2955","DGKELBDO_05061",0.774600000000003,16.15885,6.32248378753871,6.09682842233299e-05,0.00252516741745235,2.03853837299541
"3006","DGKELBDO_05148",0.368266666666667,18.9926833333333,6.29013959730577,6.37436514235059e-05,0.00260711534322139,1.99312682127618
"192","DGKELBDO_00295",1.63316666666667,14.1636583333333,6.27338773104008,6.523397137447e-05,0.00263513030046007,1.96954783955017
"2797","DGKELBDO_04805",0.894266666666665,14.0601166666667,6.26350419097136,6.61307110563372e-05,0.00263877666556507,1.95561735454912
"1705","DGKELBDO_02926",-0.413866666666667,15.7322666666667,-6.23624084918035,6.86734096363896e-05,0.00270722164253333,1.91711761873172
"3083","DGKELBDO_05275",1.02646666666667,12.561775,6.16358266443432,7.59746450069958e-05,0.00295939331503441,1.81398904505218
"3203","DGKELBDO_05518",0.506599999999999,18.69995,6.11510539528159,8.13050745296104e-05,0.00312976710424571,1.74475642989294
"1479","DGKELBDO_02603",0.957299999999998,14.9823833333333,6.05946634659293,8.79201056299724e-05,0.00334505332117755,1.66487468032035
"1602","DGKELBDO_02769",0.785933333333332,17.0202833333333,6.01073030353548,9.41878487025369e-05,0.00352141896045498,1.59453309988834
"1540","DGKELBDO_02693",-1.43396666666667,16.6973083333333,-6.00684188202698,9.47080894009897e-05,0.00352141896045498,1.58890594475996
"207","DGKELBDO_00315",0.486999999999998,14.84025,5.99359425880316,9.65036888617581e-05,0.00354786595455812,1.56971798298926
"377","DGKELBDO_00701",-0.566800000000001,16.1509083333333,-5.91147498301551,0.000108477672663858,0.00394376605506825,1.45020331198983
"1539","DGKELBDO_02692",-0.855033333333333,13.8313916666667,-5.89656646772627,0.000110816806703247,0.00398453397289036,1.42839991050802
"3172","DGKELBDO_05480",0.359533333333335,16.13915,5.87496708164385,0.00011430172989835,0.00406516587203697,1.3967534745052
