"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"838","DGKELBDO_01502",0.669433333333334,11.73475,2.16670445617042,0.0534829321060949,0.127654773652984,-5.11535430035585
"2009","DGKELBDO_03407",1.18576666666667,13.1661,2.16664331146722,0.0534885986180444,0.127654773652984,-5.11545448956827
"2254","DGKELBDO_03791",-0.244466666666666,14.1799333333333,-2.16471454290232,0.0536676387717214,0.127988712872502,-5.11861432399566
"2763","DGKELBDO_04750",0.232466666666665,12.880475,2.15900948343484,0.0542005643291004,0.129165510913923,-5.12795426996742
"2451","DGKELBDO_04114",-1.43425333333333,10.3359441666667,-2.15690495721412,0.0543984230765754,0.12954267853461,-5.13139721511473
"1054","DGKELBDO_01869",-0.1326,19.9462916666667,-2.15541108600646,0.0545392875568592,0.129783671917122,-5.13384034280972
"1669","DGKELBDO_02874",0.122299999999996,19.3396583333333,2.15305698901379,0.0547619716432848,0.130218874430834,-5.1376889560429
"1244","DGKELBDO_02171",0.846933333333334,12.34395,2.1518637906143,0.0548751714480812,0.130393290470677,-5.13963903006026
"3040","DGKELBDO_05199",0.440300000000001,13.1797833333333,2.15106537476999,0.0549510421432911,0.130478817048511,-5.14094366191521
"1989","DGKELBDO_03361",0.390766666666668,13.1232583333333,2.14878248625422,0.0551685280008666,0.13088819368482,-5.14467290013588
"2988","DGKELBDO_05120",0.245466666666669,13.9262916666667,2.14841665700923,0.0552034557717152,0.13088819368482,-5.14527035840666
"2652","DGKELBDO_04440",-0.370700000000001,14.5156833333333,-2.14749649286963,0.0552914019894788,0.131001786610843,-5.14677295631272
"1761","DGKELBDO_03001",-0.142266666666666,15.11445,-2.1432572196074,0.0556983008918705,0.131870362169465,-5.1536922376789
"1899","DGKELBDO_03243",-0.239933333333333,16.02885,-2.1416311945369,0.0558551258458308,0.132146038877483,-5.15634476384821
"2853","DGKELBDO_04907",0.23376666666667,12.8902,2.1410933121699,0.0559070951861184,0.132173421567182,-5.15722203124382
"3112","DGKELBDO_05331",-0.248766666666668,15.384075,-2.14018403792586,0.0559950523174019,0.132285784247321,-5.15870482515684
"1366","DGKELBDO_02406",0.813299999999998,12.2132666666667,2.13925897957463,0.0560846712073335,0.132334674064711,-5.16021309985527
"2450","DGKELBDO_04113",0.210933333333333,15.1999583333333,2.13913558383636,0.056096635980365,0.132334674064711,-5.16041427244426
"2608","DGKELBDO_04372",-0.119499999999999,16.51705,-2.13578657875782,0.0564222916797863,0.133007016121225,-5.16587238928549
"2448","DGKELBDO_04111",0.197733333333332,14.447325,2.13409868620197,0.0565871012785837,0.133299492716721,-5.16862196612434
"442","DGKELBDO_00802",0.207133333333335,15.6838416666667,2.13309263837915,0.0566855513505042,0.133435341020755,-5.17026040111017
"2631","DGKELBDO_04412",-0.125,15.5041916666667,-2.13054917721751,0.0569351757227273,0.133926595948788,-5.17440125372583
"3181","DGKELBDO_05490",0.17176666666667,19.2301666666667,2.12862195736388,0.057125014412794,0.134276614338119,-5.17753751067133
